"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Dec 16 19:11:26 EST 2020","Wed Dec 16 19:11:43 EST 2020","17050","CRUD article","Update article","Tests.UpdateTest","Tests.UpdateTest","updateArticle","User can update article",""
"passed","Wed Dec 16 19:10:51 EST 2020","Wed Dec 16 19:11:09 EST 2020","17942","CRUD article","Create an article","Tests.CreateTest","Tests.CreateTest","userCreate","Creating new post",""
"passed","Wed Dec 16 19:11:11 EST 2020","Wed Dec 16 19:11:23 EST 2020","11725","CRUD article","Read article","Tests.ReadTest","Tests.ReadTest","editArticle","Edit to the article",""
"passed","Wed Dec 16 19:11:46 EST 2020","Wed Dec 16 19:11:54 EST 2020","7880","CRUD article","Delete article","Tests.DeleteTest","Tests.DeleteTest","deleteArticle","User can delete article",""
