"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 16 12:11:26 EST 2020","Wed Dec 16 12:11:36 EST 2020","10443","CRUD article","Delete article","Tests.DeleteTest","Tests.DeleteTest","deleteArticle","User can delete article",""
"broken","Wed Dec 16 12:10:56 EST 2020","Wed Dec 16 12:11:15 EST 2020","19588","CRUD article","Update article","Tests.UpdateTest","Tests.UpdateTest","updateArticle","User can update article",""
"passed","Wed Dec 16 12:09:57 EST 2020","Wed Dec 16 12:10:20 EST 2020","22891","CRUD article","Create an article","Tests.CreateTest","Tests.CreateTest","userCreate","Creating new post",""
"passed","Wed Dec 16 12:10:29 EST 2020","Wed Dec 16 12:10:47 EST 2020","18030","CRUD article","Read article","Tests.ReadTest","Tests.ReadTest","editArticle","Edit to the article",""
