"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 20 16:06:39 EST 2020","Sun Dec 20 16:07:03 EST 2020","23963","CRUD article","Update article","Tests.UpdateTest","Tests.UpdateTest","updateArticle","User can update article",""
"passed","Sun Dec 20 16:06:23 EST 2020","Sun Dec 20 16:06:36 EST 2020","13779","CRUD article","Read article","Tests.ReadTest","Tests.ReadTest","editArticle","Edit to the article",""
"passed","Sun Dec 20 16:07:05 EST 2020","Sun Dec 20 16:07:15 EST 2020","9508","CRUD article","Delete article","Tests.DeleteTest","Tests.DeleteTest","deleteArticle","User can delete article",""
"passed","Sun Dec 20 16:06:02 EST 2020","Sun Dec 20 16:06:20 EST 2020","17493","CRUD article","Create an article","Tests.CreateTest","Tests.CreateTest","userCreate","Creating new post",""
