"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Dec 16 19:16:05 EST 2020","Wed Dec 16 19:16:22 EST 2020","17258","CRUD article","Update article","Tests.UpdateTest","Tests.UpdateTest","updateArticle","User can update article",""
"broken","Wed Dec 16 19:15:46 EST 2020","Wed Dec 16 19:15:57 EST 2020","11660","CRUD article","Create an article","Tests.CreateTest","Tests.CreateTest","userCreate","Creating new post",""
"broken","Wed Dec 16 19:16:00 EST 2020","Wed Dec 16 19:16:02 EST 2020","2136","CRUD article","Read article","Tests.ReadTest","Tests.ReadTest","editArticle","Edit to the article",""
"broken","Wed Dec 16 19:16:02 EST 2020","Wed Dec 16 19:16:02 EST 2020","1","CRUD article","Read article","Tests.ReadTest","Tests.ReadTest","quitDriver","quitDriver",""
"passed","Wed Dec 16 19:16:27 EST 2020","Wed Dec 16 19:16:34 EST 2020","7861","CRUD article","Delete article","Tests.DeleteTest","Tests.DeleteTest","deleteArticle","User can delete article",""
"broken","Wed Dec 16 19:15:57 EST 2020","Wed Dec 16 19:15:57 EST 2020","1","CRUD article","Create an article","Tests.CreateTest","Tests.CreateTest","quitDriver","quitDriver",""
