"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Dec 16 11:29:21 EST 2020","Wed Dec 16 11:29:21 EST 2020","0","Default Suite","CrudProject","Tests.ReadTest","Tests.ReadTest","editArticle","Edit to the article",""
"broken","Wed Dec 16 11:28:59 EST 2020","Wed Dec 16 11:28:59 EST 2020","1","Default Suite","CrudProject","Tests.CreateTest","Tests.CreateTest","initDriver","initDriver",""
"skipped","Wed Dec 16 11:29:21 EST 2020","Wed Dec 16 11:29:21 EST 2020","0","Default Suite","CrudProject","Tests.UpdateTest","Tests.UpdateTest","updateArticle","User can update article",""
"broken","Wed Dec 16 11:29:21 EST 2020","Wed Dec 16 11:29:21 EST 2020","1","Default Suite","CrudProject","Tests.ReadTest","Tests.ReadTest","initDriver","initDriver",""
"broken","Wed Dec 16 11:28:59 EST 2020","Wed Dec 16 11:28:59 EST 2020","0","Default Suite","CrudProject","Tests.HomePageTest","Tests.HomePageTest","initDriver","initDriver",""
"skipped","Wed Dec 16 11:28:59 EST 2020","Wed Dec 16 11:28:59 EST 2020","0","Default Suite","CrudProject","Tests.SignUp","Tests.SignUp","signUp2","SignUp -2",""
"broken","Wed Dec 16 11:28:59 EST 2020","Wed Dec 16 11:28:59 EST 2020","0","Default Suite","CrudProject","Tests.DeleteTest","Tests.DeleteTest","initDriver","initDriver",""
"broken","Wed Dec 16 11:28:59 EST 2020","Wed Dec 16 11:28:59 EST 2020","0","Default Suite","CrudProject","Tests.SignUp","Tests.SignUp","initDriver","initDriver",""
"skipped","Wed Dec 16 11:28:59 EST 2020","Wed Dec 16 11:28:59 EST 2020","0","Default Suite","CrudProject","Tests.SignUp","Tests.SignUp","signUp1","SignUp -2",""
"broken","Wed Dec 16 11:28:59 EST 2020","Wed Dec 16 11:29:21 EST 2020","21857","Default Suite","CrudProject","ZDiscussion.WaitConcept","ZDiscussion.WaitConcept","testWait","testWait",""
"skipped","Wed Dec 16 11:28:59 EST 2020","Wed Dec 16 11:28:59 EST 2020","0","Default Suite","CrudProject","Tests.HomePageTest","Tests.HomePageTest","userCantLogin","User should not be able to log in",""
"passed","Wed Dec 16 11:28:55 EST 2020","Wed Dec 16 11:28:59 EST 2020","4044","Default Suite","CrudProject","ZDiscussion.Screenshot","ZDiscussion.Screenshot","takeSnippet","takeSnippet",""
"broken","Wed Dec 16 11:29:21 EST 2020","Wed Dec 16 11:29:21 EST 2020","0","Default Suite","CrudProject","Tests.UpdateTest","Tests.UpdateTest","initDriver","initDriver",""
"skipped","Wed Dec 16 11:28:59 EST 2020","Wed Dec 16 11:28:59 EST 2020","0","Default Suite","CrudProject","Tests.DeleteTest","Tests.DeleteTest","deleteArticle","User can delete article",""
"skipped","Wed Dec 16 11:28:59 EST 2020","Wed Dec 16 11:28:59 EST 2020","0","Default Suite","CrudProject","Tests.HomePageTest","Tests.HomePageTest","userLogIn","User can login with the valid credentials",""
"skipped","Wed Dec 16 11:28:59 EST 2020","Wed Dec 16 11:28:59 EST 2020","0","Default Suite","CrudProject","Tests.CreateTest","Tests.CreateTest","userCreate","Creating new post",""
