"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Dec 16 11:15:27 EST 2020","Wed Dec 16 11:15:27 EST 2020","2","CRUD article","Create an article","Tests.CreateTest","Tests.CreateTest","initDriver","initDriver",""
"broken","Wed Dec 16 11:15:27 EST 2020","Wed Dec 16 11:15:27 EST 2020","1","CRUD article","Read article","Tests.ReadTest","Tests.ReadTest","initDriver","initDriver",""
"skipped","Wed Dec 16 11:15:27 EST 2020","Wed Dec 16 11:15:27 EST 2020","1","CRUD article","Update article","Tests.UpdateTest","Tests.UpdateTest","updateArticle","User can update article",""
"skipped","Wed Dec 16 11:15:27 EST 2020","Wed Dec 16 11:15:27 EST 2020","3","CRUD article","Create an article","Tests.CreateTest","Tests.CreateTest","userCreate","Creating new post",""
"skipped","Wed Dec 16 11:15:27 EST 2020","Wed Dec 16 11:15:27 EST 2020","1","CRUD article","Read article","Tests.ReadTest","Tests.ReadTest","editArticle","Edit to the article",""
"broken","Wed Dec 16 11:15:27 EST 2020","Wed Dec 16 11:15:27 EST 2020","0","CRUD article","Update article","Tests.UpdateTest","Tests.UpdateTest","initDriver","initDriver",""
"skipped","Wed Dec 16 11:15:27 EST 2020","Wed Dec 16 11:15:27 EST 2020","0","CRUD article","Delete article","Tests.DeleteTest","Tests.DeleteTest","deleteArticle","User can delete article",""
"broken","Wed Dec 16 11:15:27 EST 2020","Wed Dec 16 11:15:27 EST 2020","0","CRUD article","Delete article","Tests.DeleteTest","Tests.DeleteTest","initDriver","initDriver",""
