"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 14 22:28:35 EST 2020","Mon Dec 14 22:28:55 EST 2020","20325","CRUD article","Update article","Tests.UpdateTest","Tests.UpdateTest","updateArticle","User can update article",""
"passed","Mon Dec 14 22:28:00 EST 2020","Mon Dec 14 22:28:18 EST 2020","17916","CRUD article","Create an article","Tests.CreateTest","Tests.CreateTest","userCreate","Creating new post",""
"passed","Mon Dec 14 22:28:20 EST 2020","Mon Dec 14 22:28:32 EST 2020","11798","CRUD article","Read article","Tests.ReadTest","Tests.ReadTest","editArticle","Edit to the article",""
"passed","Mon Dec 14 22:28:58 EST 2020","Mon Dec 14 22:29:05 EST 2020","7553","CRUD article","Delete article","Tests.DeleteTest","Tests.DeleteTest","deleteArticle","User can delete article",""
