"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Dec 20 15:51:54 EST 2020","Sun Dec 20 15:51:54 EST 2020","0","CRUD article","Delete article","Tests.DeleteTest","Tests.DeleteTest","initDriver","initDriver",""
"skipped","Sun Dec 20 15:51:54 EST 2020","Sun Dec 20 15:51:54 EST 2020","1","CRUD article","Create an article","Tests.CreateTest","Tests.CreateTest","userCreate","Creating new post",""
"skipped","Sun Dec 20 15:51:54 EST 2020","Sun Dec 20 15:51:54 EST 2020","0","CRUD article","Update article","Tests.UpdateTest","Tests.UpdateTest","updateArticle","User can update article",""
"broken","Sun Dec 20 15:51:54 EST 2020","Sun Dec 20 15:51:54 EST 2020","0","CRUD article","Update article","Tests.UpdateTest","Tests.UpdateTest","initDriver","initDriver",""
"skipped","Sun Dec 20 15:51:54 EST 2020","Sun Dec 20 15:51:54 EST 2020","0","CRUD article","Read article","Tests.ReadTest","Tests.ReadTest","editArticle","Edit to the article",""
"broken","Sun Dec 20 15:51:54 EST 2020","Sun Dec 20 15:51:54 EST 2020","0","CRUD article","Read article","Tests.ReadTest","Tests.ReadTest","initDriver","initDriver",""
"broken","Sun Dec 20 15:51:54 EST 2020","Sun Dec 20 15:51:54 EST 2020","1","CRUD article","Create an article","Tests.CreateTest","Tests.CreateTest","initDriver","initDriver",""
"skipped","Sun Dec 20 15:51:54 EST 2020","Sun Dec 20 15:51:54 EST 2020","0","CRUD article","Delete article","Tests.DeleteTest","Tests.DeleteTest","deleteArticle","User can delete article",""
