"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 14 21:55:14 EST 2020","Mon Dec 14 21:55:32 EST 2020","17802","CRUD article","Create an article","Tests.CreateTest","Tests.CreateTest","userCreate","Creating new post",""
"passed","Mon Dec 14 21:55:49 EST 2020","Mon Dec 14 21:56:09 EST 2020","20299","CRUD article","Update article","Tests.UpdateTest","Tests.UpdateTest","updateArticle","User can update article",""
"passed","Mon Dec 14 21:55:34 EST 2020","Mon Dec 14 21:55:46 EST 2020","11715","CRUD article","Read article","Tests.ReadTest","Tests.ReadTest","editArticle","Edit to the article",""
"passed","Mon Dec 14 21:56:11 EST 2020","Mon Dec 14 21:56:19 EST 2020","7447","CRUD article","Delete article","Tests.DeleteTest","Tests.DeleteTest","deleteArticle","User can delete article",""
